#{"t_start": 1784399297.7320316, "env_id": "None"}
r,l,t
131.644423,100,2.170637
191.977427,100,2.485916
235.398246,100,2.743562
165.398612,100,2.983929
151.609682,100,3.229453
216.630022,100,3.482289
177.172799,100,3.708375
138.289496,100,3.919205
97.999651,100,4.157258
135.504862,100,4.41041
180.800313,100,19.058907
195.551613,100,19.299034
117.407201,100,19.603545
138.465343,100,19.908866
170.604602,100,20.222157
167.126439,100,20.525537
174.498517,100,20.854258
266.828786,100,21.168179
161.208242,100,21.489678
221.115095,100,21.821224
170.972737,100,33.89545
264.192296,100,34.045791
210.423247,100,34.193688
222.184204,100,34.345701
259.348609,100,34.521129
212.859643,100,34.685317
159.69244,100,34.85126
231.806668,100,34.999001
201.746071,100,35.174456
162.378013,100,35.413984
204.529355,100,46.788683
177.262421,100,47.159281
252.666203,100,47.493698
125.30402,100,47.758927
156.877677,100,48.06122
189.136682,100,48.390256
219.630713,100,48.719391
273.018488,100,49.018758
193.14656,100,49.304764
128.349406,100,49.606023
230.611665,100,62.325859
189.063229,100,62.488889
203.948317,100,62.669181
194.10493,100,62.837278
147.401475,100,63.023778
154.277684,100,63.215604
227.16529,100,63.478244
166.87075,100,63.647794
213.331594,100,63.842216
168.773809,100,64.025924
184.863445,100,75.586233
182.544825,100,75.753403
195.038081,100,75.928181
180.821462,100,76.104845
157.841581,100,76.287666
160.528562,100,76.492048
151.494234,100,76.725016
213.615563,100,76.923643
194.974132,100,77.11116
225.760948,100,77.277636
173.398867,100,90.416707
179.70739,100,90.738653
211.557078,100,91.074445
195.814369,100,91.418056
110.961931,100,91.722051
212.862541,100,92.00635
206.330365,100,92.335425
210.91986,100,92.651278
237.219708,100,92.986302
241.696599,100,93.298183
227.810855,100,107.900045
210.922832,100,108.091345
194.561074,100,108.293673
130.287381,100,108.490091
222.022761,100,108.68536
244.047706,100,108.877876
150.076655,100,109.050343
162.691244,100,109.221255
249.409634,100,109.486377
184.002168,100,109.666811
193.941001,100,124.396257
246.696351,100,124.55923
202.756356,100,124.717382
189.865029,100,124.873657
188.603554,100,125.042531
168.802879,100,125.210462
221.896118,100,125.367326
266.963803,100,125.535675
212.050933,100,125.731278
230.510812,100,125.97121
213.350488,100,145.415251
222.124611,100,145.843307
192.224058,100,146.187289
206.869935,100,146.597528
145.973942,100,147.002867
141.337567,100,147.388306
238.700392,100,147.801277
161.244667,100,148.015276
212.008421,100,148.196229
195.169354,100,148.348594
253.852925,100,161.306309
256.84212,100,161.490973
264.692027,100,161.720709
200.340357,100,161.968241
209.420195,100,162.115153
212.080476,100,162.290943
246.605677,100,162.448526
222.371015,100,162.608447
178.550227,100,162.779221
226.497703,100,162.957349
183.782353,100,177.28058
191.782241,100,177.60564
169.988269,100,177.929382
233.359715,100,178.193422
182.624714,100,178.510611
199.075231,100,178.843901
225.424935,100,179.160033
196.816598,100,179.485049
172.375537,100,179.832047
160.044451,100,180.088685
166.415911,100,191.397825
200.39237,100,191.5373
217.706943,100,191.703603
197.230282,100,191.958077
261.768476,100,192.12536
238.718486,100,192.308425
247.217839,100,192.468985
247.883432,100,192.622213
225.285642,100,192.789654
212.835071,100,192.964882
216.294867,100,207.232641
239.553742,100,207.408493
218.505492,100,207.599033
264.194686,100,207.85781
225.23907,100,208.07022
216.741416,100,208.264473
289.418124,100,208.453972
268.38044,100,208.637881
229.436145,100,208.821954
186.242545,100,209.021004
320.12463,100,221.204267
203.018357,100,221.360683
184.347653,100,221.516676
293.356352,100,221.693563
259.960807,100,221.952016
235.148333,100,222.10362
245.116095,100,222.262075
243.189895,100,222.445667
201.451432,100,222.614066
