#{"t_start": 1784399297.732803, "env_id": "None"}
r,l,t
197.924468,100,2.170098
154.185118,100,2.485376
176.966921,100,2.742887
130.892991,100,2.983263
198.068635,100,3.228771
136.717067,100,3.481638
213.026572,100,3.707831
179.563577,100,3.918578
148.801556,100,4.156721
137.548044,100,4.409729
170.136054,100,19.058369
135.786008,100,19.298545
156.968849,100,19.603041
158.723149,100,19.908365
199.961921,100,20.221615
188.144481,100,20.525013
205.075901,100,20.853744
143.843412,100,21.167612
150.262779,100,21.489205
183.403038,100,21.820686
170.618832,100,33.89477
178.096153,100,34.045129
244.79301,100,34.193035
186.533911,100,34.345042
159.646868,100,34.520444
147.860653,100,34.684646
212.218497,100,34.850578
140.957865,100,34.998325
226.455648,100,35.173894
162.970985,100,35.413301
166.224516,100,46.788212
191.352462,100,47.158789
192.344876,100,47.493385
268.144076,100,47.758301
265.665022,100,48.060735
163.372697,100,48.389727
182.606529,100,48.718754
191.427624,100,49.018223
238.921248,100,49.304246
191.147517,100,49.605456
168.803288,100,62.325267
241.484263,100,62.488215
123.9787,100,62.6685
214.772074,100,62.836604
242.357985,100,63.023227
206.955124,100,63.21494
174.745358,100,63.477672
149.601288,100,63.647117
157.578464,100,63.841535
195.398501,100,64.025246
131.293945,100,75.585556
100.237212,100,75.752725
282.571063,100,75.927577
207.686496,100,76.104204
184.574731,100,76.287091
233.358857,100,76.491399
195.150847,100,76.724364
269.496335,100,76.922968
195.750841,100,77.110483
170.15359,100,77.277076
222.361677,100,90.416174
226.256121,100,90.738194
197.308056,100,91.073939
133.338655,100,91.417529
190.03092,100,91.721463
206.922881,100,92.005837
211.620055,100,92.334872
205.237253,100,92.650849
217.884094,100,92.985779
189.148452,100,93.29766
216.265637,100,107.899457
193.419364,100,108.09067
189.974425,100,108.293068
166.329999,100,108.489426
198.220023,100,108.684681
188.14875,100,108.877217
171.84927,100,109.049664
193.211134,100,109.220582
223.340739,100,109.485852
195.482857,100,109.666179
184.570376,100,124.395645
206.061101,100,124.558551
151.604816,100,124.7167
165.469695,100,124.87305
245.15485,100,125.041854
150.342231,100,125.209785
190.02242,100,125.366649
229.13923,100,125.535073
133.59581,100,125.730814
157.508693,100,125.970541
202.492627,100,145.414751
