#{"t_start": 1784499439.7683964, "env_id": "None"}
r,l,t
325.674776,100,1.593568
347.13819,100,1.771241
356.627867,100,1.927601
261.519405,100,2.106321
421.348089,100,2.293941
401.338773,100,2.463883
387.29159,100,2.641324
412.964391,100,2.811336
355.030567,100,3.005984
422.090831,100,3.244919
346.511139,100,14.684688
348.97862,100,14.901232
241.715433,100,15.208859
268.059902,100,15.393919
399.767763,100,15.590063
355.247767,100,15.754041
263.784156,100,15.932198
235.341443,100,16.099633
272.387662,100,16.273987
427.260527,100,16.442086
404.222093,100,27.964738
372.498378,100,28.128593
378.723238,100,28.278147
287.635718,100,28.441405
287.986367,100,28.615416
382.258553,100,28.774919
316.602675,100,28.942577
290.488711,100,29.234332
298.787767,100,29.3898
380.519463,100,29.570897
215.18079,100,40.183799
409.789778,100,40.332106
303.63155,100,40.498538
408.038207,100,40.650539
353.185169,100,40.797351
295.096839,100,40.940898
427.840471,100,41.087575
403.325822,100,41.252061
307.774107,100,41.531036
213.78077,100,41.694561
265.990711,100,53.373794
299.20977,100,53.531568
316.704382,100,53.817102
309.837304,100,53.970721
394.236395,100,54.152882
246.275978,100,54.305423
371.111249,100,54.45825
393.818929,100,54.615058
355.092777,100,54.779593
245.339604,100,54.944757
319.982787,100,65.373927
315.421775,100,65.536069
196.708832,100,65.817656
285.153099,100,65.965086
411.651593,100,66.136039
343.212509,100,66.28841
258.575549,100,66.436706
347.733013,100,66.604615
430.079293,100,66.766517
423.362941,100,66.93017
411.04126,100,78.023123
384.736572,100,78.167592
391.406742,100,78.311314
360.10764,100,78.456594
442.442943,100,78.623485
305.825326,100,78.893121
347.349845,100,79.05297
287.919228,100,79.232105
421.313447,100,79.371512
394.218828,100,79.520212
263.254614,100,93.316652
312.761503,100,93.64058
241.105681,100,93.951325
279.298434,100,94.252969
404.9727,100,94.568147
426.503126,100,94.898623
300.973929,100,95.182118
459.536221,100,95.45528
300.022972,100,95.770419
416.075842,100,96.062659
444.582021,100,108.907968
356.277693,100,109.14425
298.10955,100,109.323058
453.430996,100,109.49976
339.216105,100,109.660109
264.384568,100,109.823577
419.476328,100,109.994968
273.796295,100,110.1539
379.751108,100,110.313972
262.42698,100,110.46787
262.792169,100,123.677047
435.550213,100,124.059227
343.152587,100,124.446416
299.722528,100,124.828068
414.997769,100,125.181672
329.371034,100,125.506524
373.156981,100,125.888233
378.712571,100,126.266666
427.308287,100,126.631894
388.698335,100,127.02343
263.915845,100,137.400538
288.548914,100,137.577059
330.541948,100,137.742824
336.975857,100,137.892026
356.771194,100,138.042024
331.934814,100,138.205417
366.049253,100,138.359174
435.825492,100,138.518754
414.857677,100,138.711162
362.170293,100,138.882316
410.988755,100,150.998878
380.390949,100,151.260728
473.033291,100,151.452722
441.766815,100,151.641977
438.344539,100,151.825572
442.489791,100,152.022868
446.745495,100,152.222069
393.076541,100,152.392296
430.829564,100,152.568215
441.038948,100,152.756794
423.364367,100,164.844177
395.656445,100,165.146068
327.220142,100,165.331599
363.276479,100,165.538447
321.338932,100,165.734018
350.997458,100,165.917908
469.416136,100,166.110995
322.819781,100,166.30032
431.927607,100,166.489886
463.301397,100,166.674545
424.069159,100,181.363718
319.450617,100,181.541602
447.891089,100,181.704665
298.476709,100,181.855319
304.406854,100,182.005023
334.817353,100,182.178186
330.585727,100,182.337125
378.906179,100,182.509755
434.675779,100,182.703233
330.989224,100,182.87015
366.781489,100,194.51703
365.871748,100,194.697433
444.84545,100,194.890463
464.70141,100,195.18629
388.709102,100,195.368847
431.719235,100,195.566137
375.164189,100,195.751688
447.612544,100,195.932228
399.111053,100,196.130282
326.425507,100,196.316082
447.316245,100,207.874319
428.370569,100,208.030111
284.579975,100,208.178336
395.093568,100,208.321052
436.872069,100,208.499009
340.771658,100,208.662832
359.004496,100,208.840649
458.54752,100,208.989157
455.094064,100,209.138268
338.910676,100,209.288596
474.368714,100,220.345618
466.013217,100,220.548833
349.542146,100,220.763131
481.06583,100,220.985258
325.520043,100,221.193471
351.59236,100,221.393944
445.513275,100,221.736636
395.119507,100,221.923329
315.684174,100,222.128061
469.021138,100,222.316071
461.815882,100,234.129092
459.74163,100,234.28961
469.873328,100,234.459985
397.606068,100,234.636578
441.099407,100,234.813215
431.763523,100,234.999235
400.660991,100,235.165993
459.415081,100,235.332307
486.232641,100,235.503058
402.746662,100,235.792173
514.143553,100,246.054805
374.620881,100,246.205654
436.676511,100,246.364205
413.010028,100,246.525903
324.567215,100,246.741066
402.801452,100,246.963824
486.591197,100,247.13311
450.118343,100,247.311639
