#{"t_start": 1784499439.769601, "env_id": "None"}
r,l,t
273.436585,100,1.59295
402.90784,100,1.770724
304.926818,100,1.926948
379.369142,100,2.105763
387.795533,100,2.293349
256.558167,100,2.463326
372.989334,100,2.64073
276.388582,100,2.810775
337.169349,100,3.005805
341.020987,100,3.24456
256.012475,100,14.684367
233.275468,100,14.900922
354.320402,100,15.208909
269.990319,100,15.393731
305.682655,100,15.589499
279.20237,100,15.753404
325.519582,100,15.931681
433.901735,100,16.09908
259.165444,100,16.273536
249.547244,100,16.441501
302.152468,100,27.964373
301.52852,100,28.128508
416.111151,100,28.277543
275.080839,100,28.440893
287.633385,100,28.614835
361.486741,100,28.774331
280.178109,100,28.942125
293.524151,100,29.234662
372.281233,100,29.3893
334.315407,100,29.570391
368.21474,100,40.183203
250.094956,100,40.331709
374.002087,100,40.497931
363.59729,100,40.649924
333.441347,100,40.796819
407.517816,100,40.940379
234.765544,100,41.086974
265.467281,100,41.252284
248.12993,100,41.530434
371.310132,100,41.693938
267.124572,100,53.373143
326.441544,100,53.530986
422.069483,100,53.816647
290.300268,100,53.970052
400.310944,100,54.152252
387.090461,100,54.304982
434.392141,100,54.457774
313.684228,100,54.614552
425.271371,100,54.778955
430.361197,100,54.944124
407.335572,100,65.373373
290.4205,100,65.536081
260.129396,100,65.817028
386.5139,100,65.964839
276.184461,100,66.135739
288.429574,100,66.287805
282.837473,100,66.436078
292.91736,100,66.604509
426.909972,100,66.76588
258.956215,100,66.929647
315.626306,100,78.022611
432.600382,100,78.166948
313.667833,100,78.310764
404.451988,100,78.456067
323.967711,100,78.623997
390.015514,100,78.892519
408.081142,100,79.052365
417.933452,100,79.231524
385.301388,100,79.370901
408.060938,100,79.519702
388.251366,100,93.316356
429.477006,100,93.640759
341.093822,100,93.951591
262.631508,100,94.253201
420.529968,100,94.568501
420.349266,100,94.898805
445.624498,100,95.182066
433.589836,100,95.455525
362.813371,100,95.770294
295.006848,100,96.062688
374.397161,100,108.908045
235.669895,100,109.143662
409.834242,100,109.322525
395.531818,100,109.499122
337.007053,100,109.659525
329.801888,100,109.823059
405.06333,100,109.994355
269.028274,100,110.153649
423.6682,100,110.313333
250.666316,100,110.467249
298.215267,100,123.677391
349.843614,100,124.060133
417.238603,100,124.446886
458.031786,100,124.828619
370.441335,100,125.181663
309.14983,100,125.507072
275.001185,100,125.888637
345.827425,100,126.26706
345.502719,100,126.632251
422.973582,100,127.023932
428.129156,100,137.399917
321.884785,100,137.576529
320.677942,100,137.742392
475.397492,100,137.89151
367.184373,100,138.041425
367.418217,100,138.204945
465.275038,100,138.358581
309.653434,100,138.518086
333.553508,100,138.7107
422.191965,100,138.88195
417.758431,100,150.99886
393.968545,100,151.260245
330.301421,100,151.4522
385.28464,100,151.641605
406.701575,100,151.825214
311.511661,100,152.022434
488.71943,100,152.221632
336.411234,100,152.391713
325.84491,100,152.567834
428.600799,100,152.756585
440.208012,100,164.843708
460.785818,100,165.145758
432.835132,100,165.33131
430.002753,100,165.537935
420.108222,100,165.733732
466.475283,100,165.917525
374.680338,100,166.110695
430.334907,100,166.299796
489.080641,100,166.489437
382.579242,100,166.67398
367.426956,100,181.363317
436.351429,100,181.540974
477.241208,100,181.704016
301.97799,100,181.854733
361.694218,100,182.005015
437.669201,100,182.177552
474.339307,100,182.336738
302.459636,100,182.509124
326.480854,100,182.702642
454.324721,100,182.869566
354.859123,100,194.516467
430.185958,100,194.69685
320.544906,100,194.890096
421.370145,100,195.1859
428.199305,100,195.368363
359.478195,100,195.565759
361.228556,100,195.751131
379.0453,100,195.931892
410.645035,100,196.129945
323.528257,100,196.315621
491.400163,100,207.874049
439.822344,100,208.029627
464.511151,100,208.177749
392.845849,100,208.320694
397.02777,100,208.498548
357.988949,100,208.662157
326.070261,100,208.840037
420.499482,100,208.988551
466.54042,100,209.137728
461.65814,100,209.288295
467.55955,100,220.345017
370.253202,100,220.548436
467.587722,100,220.762917
385.191057,100,220.985025
452.356857,100,221.19293
465.534225,100,221.393643
377.206637,100,221.736131
303.932864,100,221.923124
366.664952,100,222.127739
401.286717,100,222.315589
390.062017,100,234.128511
298.981166,100,234.289015
361.322633,100,234.459628
294.469332,100,234.636117
291.873347,100,234.812815
477.104384,100,234.998653
385.468543,100,235.165568
508.413712,100,235.331781
293.804387,100,235.502456
414.871054,100,235.791651
418.763781,100,246.05426
482.802531,100,246.205031
471.118966,100,246.363693
379.380551,100,246.525289
328.291788,100,246.741066
491.146123,100,246.963216
468.591592,100,247.13261
387.290186,100,247.311039
449.635825,100,247.477751
313.041968,100,247.646873
436.588738,100,258.162745
460.917847,100,258.313417
363.443662,100,258.483814
480.164123,100,258.659634
355.365293,100,258.836466
364.150524,100,259.004109
444.533663,100,259.266835
381.074556,100,259.425668
461.743892,100,259.609937
461.707138,100,259.772758
398.200293,100,271.453967
480.116428,100,271.685087
266.555489,100,271.882735
481.21153,100,272.079794
463.481624,100,272.281661
364.812393,100,272.479273
475.902908,100,272.677451
439.940344,100,272.878821
363.885634,100,273.14042
449.080422,100,273.389987
377.723777,100,287.437264
430.380382,100,287.652291
353.036931,100,287.860584
459.037663,100,288.053138
374.794381,100,288.265927
379.061016,100,288.465279
384.499103,100,288.681866
477.459767,100,288.916932
302.373936,100,289.195007
430.496826,100,289.410479
458.708811,100,303.112927
461.707574,100,303.407098
390.725664,100,303.658112
339.23606,100,303.976961
469.371083,100,304.292132
456.520329,100,304.634079
382.082546,100,304.961657
458.750556,100,305.284172
388.274547,100,305.562432
471.906964,100,305.881773
473.648738,100,318.524672
514.647525,100,318.712974
364.144433,100,318.886883
473.126092,100,319.050078
428.79887,100,319.318681
400.196621,100,319.502806
370.033113,100,319.691139
388.597112,100,319.853838
474.620977,100,320.011005
485.229491,100,320.175912
461.994444,100,331.906362
441.076388,100,332.072775
452.772495,100,332.253405
368.266642,100,332.435277
458.550384,100,332.616394
386.351339,100,332.787576
488.278981,100,332.947942
320.26071,100,333.144987
428.995816,100,333.383637
370.517862,100,333.5593
419.581533,100,344.252614
501.071277,100,344.437313
493.967287,100,344.615338
487.587723,100,344.798991
381.422353,100,344.974825
472.442846,100,345.22695
342.855615,100,345.459281
446.348474,100,345.660144
495.124385,100,345.833485
482.288783,100,346.01923
454.514926,100,357.789567
474.980545,100,357.948214
496.670485,100,358.110561
459.881373,100,358.286708
459.55842,100,358.445493
406.648973,100,358.608279
446.456849,100,358.787587
407.152403,100,358.944487
438.505111,100,359.11293
416.20333,100,359.36726
431.607565,100,372.944328
476.720728,100,373.260967
385.449994,100,373.52799
473.402291,100,373.818003
405.46126,100,374.0986
475.858276,100,374.396071
407.764674,100,374.704519
360.853227,100,375.017351
474.42757,100,375.328017
401.628305,100,375.580047
474.031132,100,387.741804
469.208329,100,387.932296
414.155754,100,388.119997
489.212483,100,388.310222
430.413456,100,388.521651
427.786998,100,388.741707
417.723392,100,388.938112
461.016245,100,389.160349
348.027695,100,389.409774
424.222547,100,389.626826
300.3226,100,403.321694
514.47806,100,403.583243
475.52488,100,403.88343
361.497815,100,404.202537
475.862775,100,404.530025
370.467832,100,404.861511
380.583259,100,405.176893
368.495012,100,405.476985
433.469948,100,405.755433
488.853644,100,406.070318
469.027208,100,419.827979
400.599495,100,419.993268
411.404381,100,420.153612
479.814198,100,420.316953
478.476094,100,420.473453
377.70412,100,420.617857
370.298689,100,420.772196
312.933363,100,420.931912
462.912176,100,421.124484
396.146767,100,421.376793
487.974733,100,433.808771
475.338156,100,434.013592
384.732885,100,434.223554
431.560426,100,434.458546
471.458201,100,434.698791
497.965674,100,434.926616
410.587344,100,435.190225
424.913456,100,435.469695
409.101144,100,435.720442
387.886121,100,435.947601
463.327527,100,449.638448
373.398645,100,449.824784
427.935056,100,450.0055
423.061534,100,450.189435
394.803224,100,450.379385
440.23025,100,450.55695
491.833677,100,450.737128
460.725318,100,450.920012
424.209272,100,451.131625
447.54843,100,451.392573
436.267643,100,461.802927
464.541021,100,462.088764
471.264999,100,462.252674
471.813854,100,462.429953
492.723124,100,462.583606
493.719109,100,462.738492
462.234863,100,462.890317
493.728236,100,463.055243
450.84754,100,463.206898
426.580146,100,463.350358
500.911457,100,474.591208
431.15533,100,474.769241
504.492668,100,474.954304
482.872602,100,475.113071
336.264577,100,475.270139
480.059876,100,475.432766
486.508433,100,475.600666
476.665667,100,475.762867
399.075783,100,476.053927
478.521946,100,476.214811
375.356222,100,490.26112
487.192259,100,490.429108
367.107176,100,490.573102
326.142404,100,490.727396
489.463797,100,490.87878
413.647444,100,491.033508
508.801609,100,491.191559
496.409001,100,491.345252
465.492154,100,491.507636
503.42102,100,491.656182
493.863575,100,503.009589
485.740585,100,503.155736
456.915217,100,503.296825
398.677806,100,503.446784
383.398009,100,503.592957
496.776359,100,503.765363
469.926429,100,504.049257
495.722296,100,504.218905
484.861081,100,504.386345
497.690407,100,504.553077
482.575056,100,516.682742
452.022509,100,516.864094
368.178786,100,517.030472
358.224914,100,517.18592
503.472216,100,517.342335
496.903911,100,517.508072
465.230457,100,517.671895
431.042148,100,517.867922
506.948334,100,518.115777
498.868358,100,518.281628
496.618825,100,530.877051
412.490892,100,531.066483
514.511771,100,531.242091
498.082229,100,531.421782
466.175436,100,531.589978
493.009789,100,531.772402
379.034536,100,532.045016
455.188277,100,532.224114
389.338596,100,532.40714
487.937435,100,532.571866
490.455517,100,545.254351
488.633846,100,545.421576
408.283018,100,545.587965
418.448933,100,545.773699
388.68903,100,546.031371
508.785385,100,546.214799
432.448038,100,546.399598
499.936788,100,546.56684
495.132997,100,546.72581
375.750531,100,546.909307
498.330495,100,559.244532
482.255925,100,559.399729
449.328247,100,559.555967
485.597371,100,559.716219
489.135226,100,559.962879
414.761355,100,560.146024
414.5066,100,560.331605
478.242492,100,560.507556
482.898771,100,560.66676
400.318523,100,560.833804
394.644626,100,572.596816
467.14285,100,572.765214
467.898334,100,572.92142
341.234934,100,573.088489
442.32261,100,573.239865
451.623265,100,573.401654
504.993544,100,573.572086
396.780264,100,573.737346
448.290358,100,573.981299
503.787068,100,574.136219
415.959888,100,584.744421
505.254289,100,584.932093
435.786961,100,585.105516
485.132682,100,585.27532
507.166636,100,585.43778
511.357126,100,585.602717
462.046302,100,585.767731
356.931912,100,586.036976
440.11696,100,586.193688
405.630608,100,586.378011
461.917796,100,597.264999
399.86362,100,597.403857
424.520994,100,597.552845
418.113123,100,597.701904
399.966236,100,597.885224
426.556722,100,598.127728
506.23914,100,598.289557
409.517142,100,598.471391
509.306336,100,598.655287
512.277686,100,598.843652
501.598426,100,614.266671
495.596278,100,614.442275
422.530787,100,614.606574
509.238869,100,614.766098
491.18299,100,614.928528
468.58004,100,615.081701
503.876636,100,615.234417
441.005189,100,615.373124
511.209996,100,615.539552
420.243533,100,615.706542
510.916087,100,627.320325
414.988509,100,627.513033
496.033308,100,627.700468
499.439802,100,627.915066
497.980956,100,628.173467
414.253814,100,628.383798
440.878147,100,628.585949
433.92226,100,628.796566
402.200775,100,628.991377
502.317724,100,629.179589
494.679918,100,640.95497
424.654232,100,641.115961
442.252747,100,641.309029
408.776236,100,641.491879
450.242212,100,641.665941
453.317835,100,641.840029
435.509213,100,642.021204
423.629693,100,642.226952
462.540581,100,642.545767
481.553953,100,642.762478
415.729694,100,653.352005
438.089597,100,653.506067
499.429058,100,653.668682
475.484592,100,653.823948
437.299466,100,653.985079
452.347104,100,654.131384
431.93209,100,654.27866
484.107157,100,654.423356
504.595297,100,654.648459
438.607705,100,654.859364
387.460829,100,665.123896
507.245835,100,665.268215
429.935033,100,665.415283
499.74188,100,665.606661
356.70643,100,665.825812
