#{"t_start": 1784499439.7692797, "env_id": "None"}
r,l,t
265.960193,100,1.593099
294.765543,100,1.770869
319.362607,100,1.927092
329.007096,100,2.105913
290.058214,100,2.293463
375.299987,100,2.463367
425.927995,100,2.640882
389.376385,100,2.810858
372.364961,100,3.00577
244.564154,100,3.244688
317.434168,100,14.684352
385.277053,100,14.900856
374.497088,100,15.208844
372.965594,100,15.393805
323.611096,100,15.589632
260.368635,100,15.753555
339.280817,100,15.931808
227.05522,100,16.099145
294.616475,100,16.273648
250.005719,100,16.441626
227.24748,100,27.964395
388.822545,100,28.128442
283.639303,100,28.27769
337.268675,100,28.441041
274.109898,100,28.614986
423.210964,100,28.774445
265.164596,100,28.942269
395.715221,100,29.234569
425.155709,100,29.38935
290.865099,100,29.570446
251.045384,100,40.183329
395.177805,100,40.331827
426.029993,100,40.498063
348.202121,100,40.650074
390.771606,100,40.796974
405.653352,100,40.940414
401.843877,100,41.087108
242.183077,100,41.252138
358.189005,100,41.530576
285.985265,100,41.694083
380.009009,100,53.373292
355.646723,100,53.531118
271.960329,100,53.81674
372.766864,100,53.970205
287.87183,100,54.152367
287.87434,100,54.305043
355.52601,100,54.45792
382.805712,100,54.614672
291.999929,100,54.779101
421.533336,100,54.944261
433.398652,100,65.373433
327.669329,100,65.535978
425.273661,100,65.817174
273.153196,100,65.964962
301.529241,100,66.135756
431.695308,100,66.287956
423.5037,100,66.436218
355.024151,100,66.604584
308.95504,100,66.766023
449.975277,100,66.929795
353.826136,100,78.022735
315.874609,100,78.167104
267.914815,100,78.310915
424.113463,100,78.456166
316.840869,100,78.623801
368.732904,100,78.892656
409.99909,100,79.052508
360.486337,100,79.231659
437.69495,100,79.371047
307.949343,100,79.519818
281.716483,100,93.316363
442.570412,100,93.640636
430.617681,100,93.951432
349.586711,100,94.253062
412.665925,100,94.568187
390.50502,100,94.898678
447.141193,100,95.181981
398.335861,100,95.455363
266.391177,100,95.770255
398.952423,100,96.062709
453.887522,100,108.907976
297.305599,100,109.143804
370.680388,100,109.322638
372.424106,100,109.49927
325.046334,100,109.659656
429.481991,100,109.8231
342.156118,100,109.994472
461.669243,100,110.153567
318.930105,100,110.313449
464.460727,100,110.467377
440.329704,100,123.677223
286.932629,100,124.059967
400.382951,100,124.446612
251.363249,100,124.8283
368.360246,100,125.18166
325.565571,100,125.506762
368.12139,100,125.888446
347.079355,100,126.266914
468.895917,100,126.632085
257.536051,100,127.023683
406.463209,100,137.400064
374.594481,100,137.57664
427.817557,100,137.742437
302.08603,100,137.891611
395.569106,100,138.041547
313.964375,100,138.205053
430.489789,100,138.358723
286.535423,100,138.518236
376.096897,100,138.710782
376.994268,100,138.882057
296.327543,100,150.998846
302.169925,100,151.260233
438.726038,100,151.452216
318.777465,100,151.641741
348.884064,100,151.825316
370.967401,100,152.022569
448.106642,100,152.221775
444.160214,100,152.391865
459.817898,100,152.567967
458.328184,100,152.756669
347.186678,100,164.843843
383.381915,100,165.145882
427.776543,100,165.331371
433.328469,100,165.538077
308.957999,100,165.73384
249.303213,100,165.917608
345.050446,100,166.110838
428.699689,100,166.299874
299.56006,100,166.489416
459.043001,100,166.674057
459.954837,100,181.363363
347.217416,100,181.54112
431.513252,100,181.704171
323.511254,100,181.854881
458.411648,100,182.005003
436.494082,100,182.177695
441.058942,100,182.336881
426.134997,100,182.509268
298.732738,100,182.702787
456.816802,100,182.869707
380.729728,100,194.516593
335.073073,100,194.696991
326.482076,100,194.890103
392.046568,100,195.185912
440.02475,100,195.368365
368.254388,100,195.565763
373.204014,100,195.751204
359.065324,100,195.931956
359.545907,100,196.129935
282.101592,100,196.315594
452.649724,100,207.87404
318.472782,100,208.029739
365.999123,100,208.177895
483.378863,100,208.320706
484.102751,100,208.498642
425.494295,100,208.66231
379.031668,100,208.84018
363.918458,100,208.98868
442.912872,100,209.137867
478.290736,100,209.288261
446.155006,100,220.345168
381.683437,100,220.548482
373.588345,100,220.762969
421.583274,100,220.98511
434.070927,100,221.192992
472.829614,100,221.39377
415.882043,100,221.736139
451.016834,100,221.923247
324.090596,100,222.127868
340.732236,100,222.315707
463.288272,100,234.128631
461.823023,100,234.289123
452.678333,100,234.459612
463.387844,100,234.636243
481.050349,100,234.812943
479.181641,100,234.998768
466.5891,100,235.165534
468.698344,100,235.331851
399.906138,100,235.502596
427.788967,100,235.791795
291.556295,100,246.054346
378.519704,100,246.205166
493.194246,100,246.363842
479.929656,100,246.525406
372.440675,100,246.740956
405.719594,100,246.963334
459.089211,100,247.132721
404.001772,100,247.311189
352.491832,100,247.477901
477.679248,100,247.647015
463.727075,100,258.162895
376.295985,100,258.313559
473.581459,100,258.483963
381.47323,100,258.659765
402.818468,100,258.83654
459.266106,100,259.004071
412.075392,100,259.266985
469.554477,100,259.425743
454.476019,100,259.610082
462.873186,100,259.772878
399.741999,100,271.453897
474.337317,100,271.685217
435.108246,100,271.882743
334.425025,100,272.079936
398.122765,100,272.281804
377.340817,100,272.479347
461.677487,100,272.677351
445.795308,100,272.878919
347.683915,100,273.140435
414.852997,100,273.390081
406.748491,100,287.437387
473.059951,100,287.65227
480.930256,100,287.860689
389.224802,100,288.05326
467.243533,100,288.266076
372.636941,100,288.465288
388.681317,100,288.68183
502.970218,100,288.91703
486.142798,100,289.195073
354.626787,100,289.410466
413.152991,100,303.112808
397.614162,100,303.407115
385.388948,100,303.658042
386.062577,100,303.976856
361.897093,100,304.291994
473.361764,100,304.634043
382.140992,100,304.961502
463.702124,100,305.283994
467.135442,100,305.562435
368.410346,100,305.881634
444.792796,100,318.524794
412.372099,100,318.71309
469.176454,100,318.88701
494.012404,100,319.05023
343.767603,100,319.318819
407.088068,100,319.502908
319.163517,100,319.691199
417.1512,100,319.853991
378.447834,100,320.01106
484.6079,100,320.176044
451.966768,100,331.906478
357.125294,100,332.072924
478.929523,100,332.253456
393.786891,100,332.435341
349.342593,100,332.616447
387.626465,100,332.787695
481.392395,100,332.948087
472.83586,100,333.144925
438.673818,100,333.383788
342.750446,100,333.559365
290.96484,100,344.252584
497.348087,100,344.43735
391.416529,100,344.615359
391.061008,100,344.799114
432.35295,100,344.974949
436.763162,100,345.226878
356.732095,100,345.459399
408.097519,100,345.660244
384.979284,100,345.833468
401.277856,100,346.019125
435.874989,100,357.789638
305.39,100,357.948307
498.375899,100,358.110583
489.861874,100,358.286855
312.145095,100,358.445611
373.507862,100,358.608392
441.457225,100,358.78772
407.992388,100,358.944612
498.625626,100,359.112881
473.849632,100,359.367378
456.801063,100,372.944152
414.717354,100,373.260867
497.801066,100,373.528043
409.421205,100,373.817932
316.661175,100,374.098432
479.230046,100,374.395953
365.189048,100,374.704402
304.909148,100,375.017302
449.07891,100,375.327992
385.357849,100,375.580083
374.99652,100,387.74184
467.610217,100,387.932413
358.417793,100,388.120143
