#{"t_start": 1784411697.6619043, "env_id": "None"}
r,l,t
178.1102,100,1.51048
164.38065,100,1.65047
216.736721,100,1.838683
174.940326,100,2.057208
167.991942,100,2.319199
160.982901,100,2.48517
172.586318,100,2.65931
258.610718,100,2.824543
220.789174,100,2.99142
200.620292,100,3.145755
175.350729,100,14.740365
189.33605,100,14.911562
146.89073,100,15.067315
201.365068,100,15.235563
169.044977,100,15.395478
148.665243,100,15.542653
181.862896,100,15.701916
152.63584,100,15.849212
178.334899,100,16.010791
114.98917,100,16.163338
127.335106,100,28.201037
178.565819,100,28.376017
184.389808,100,28.613753
145.932105,100,28.802351
204.330094,100,28.973435
208.352096,100,29.146456
210.725115,100,29.30462
212.029749,100,29.454112
177.766319,100,29.610532
240.228355,100,29.787711
203.744208,100,41.13176
229.126024,100,41.300373
187.166908,100,41.452347
186.058036,100,41.616878
170.880734,100,41.787919
148.233704,100,41.958196
167.563662,100,42.108236
176.602961,100,42.262036
208.035962,100,42.413633
208.953044,100,42.654905
224.798232,100,53.869498
221.851751,100,54.238487
262.462947,100,54.610308
213.738296,100,54.794466
201.214127,100,54.958231
194.472197,100,55.111771
157.227705,100,55.252535
237.233394,100,55.402337
170.184809,100,55.556242
163.418452,100,55.736021
189.122623,100,67.647253
149.335913,100,67.894539
224.859428,100,68.135384
191.276188,100,68.362661
188.729194,100,68.679403
176.024727,100,68.899004
203.574062,100,69.101126
179.369113,100,69.311587
170.171418,100,69.516037
103.844952,100,69.733489
249.648798,100,83.28378
201.551353,100,83.481564
200.727341,100,83.692771
256.002775,100,83.920601
196.711191,100,84.111028
226.55778,100,84.307649
227.542251,100,84.548807
217.072473,100,84.829167
190.187887,100,85.06181
245.501292,100,85.262198
198.575188,100,98.093534
213.700601,100,98.414031
208.210795,100,98.736285
257.70762,100,98.99227
196.177092,100,99.298642
232.710075,100,99.606523
193.210141,100,99.916741
156.788454,100,100.219985
188.992316,100,100.527012
204.757534,100,100.818773
175.658946,100,111.99081
203.087321,100,112.159336
212.288273,100,112.327047
191.113661,100,112.507433
211.674285,100,112.780844
166.640681,100,112.930037
202.600103,100,113.100884
243.174659,100,113.264284
224.788188,100,113.42217
190.788365,100,113.570535
223.168174,100,125.992414
213.092778,100,126.308813
192.996155,100,126.636063
222.536613,100,126.913603
210.908042,100,127.184537
250.035436,100,127.486822
269.003353,100,127.79276
231.444506,100,127.990007
229.742888,100,128.16557
170.3682,100,128.331846
202.576102,100,142.352264
236.772213,100,142.519319
207.871278,100,142.671824
267.878966,100,142.919709
256.334935,100,143.079037
225.043336,100,143.256664
184.981404,100,143.43633
250.18796,100,143.595978
198.31047,100,143.751381
161.09757,100,143.912274
180.939057,100,157.166381
220.33183,100,157.360816
260.556464,100,157.50132
200.796023,100,157.644701
226.520553,100,157.806393
261.28564,100,157.961002
175.610993,100,158.123192
231.321509,100,158.284993
200.024497,100,158.436771
217.109992,100,158.592502
207.998244,100,171.766485
204.332618,100,171.986168
239.17445,100,172.208119
189.424389,100,172.410494
213.030554,100,172.611332
252.014027,100,172.846872
265.646318,100,173.084792
199.414416,100,173.308555
266.388543,100,173.492757
263.416794,100,173.680067
208.901397,100,189.246497
186.677477,100,189.427123
193.322236,100,189.593282
247.814479,100,189.793893
238.748526,100,189.971379
233.063759,100,190.176204
234.299726,100,190.364642
245.927994,100,190.550733
272.12548,100,190.724035
162.322572,100,191.033803
246.427282,100,206.883022
250.722475,100,207.049913
231.954108,100,207.391494
263.931602,100,207.743565
246.268681,100,208.129232
215.160576,100,208.519001
198.218221,100,208.905439
224.290413,100,209.305632
190.441403,100,209.649642
256.840672,100,209.954771
279.635068,100,223.92342
247.715583,100,224.286512
224.495368,100,224.647993
208.794182,100,225.023311
173.619289,100,225.370371
200.034299,100,225.693287
215.513641,100,225.885039
258.047875,100,226.042428
234.236011,100,226.192578
269.794349,100,226.344335
225.018131,100,237.788956
263.348342,100,237.952721
187.236401,100,238.111268
155.891955,100,238.265402
287.430087,100,238.432363
232.887481,100,238.597116
186.310105,100,238.761477
215.752603,100,238.934524
218.163949,100,239.094006
190.421371,100,239.368333
269.152945,100,252.230667
301.249899,100,252.392368
226.186712,100,252.554026
275.475484,100,252.708907
238.951207,100,252.882501
206.866731,100,253.048436
244.265023,100,253.281226
253.975195,100,253.472723
163.612975,100,253.650429
237.79357,100,253.817288
280.55607,100,265.100178
301.737585,100,265.365249
242.937042,100,265.54186
212.481422,100,265.717528
266.127112,100,265.864148
241.6779,100,266.004932
191.115465,100,266.150053
242.43969,100,266.299245
247.505209,100,266.443646
161.960428,100,266.587285
242.107839,100,279.807679
252.18638,100,279.985938
214.474519,100,280.153237
204.573579,100,280.329498
309.432928,100,280.497939
281.009951,100,280.66375
235.612756,100,280.849481
269.931889,100,281.023807
237.642026,100,281.250254
271.066171,100,281.486355
253.087649,100,295.093054
251.983999,100,295.282454
271.446532,100,295.600368
284.020361,100,295.845303
237.563859,100,296.063564
209.654763,100,296.269072
250.399002,100,296.46385
224.915695,100,296.65188
204.44796,100,296.823799
194.040934,100,296.998375
196.065984,100,309.638413
275.230108,100,309.817871
261.127445,100,309.965596
225.457209,100,310.119136
302.477812,100,310.262952
265.470625,100,310.415277
237.537143,100,310.567965
223.362625,100,310.723039
243.923443,100,310.878793
259.058745,100,311.032357
322.627603,100,322.212131
229.515771,100,322.363937
264.139733,100,322.524448
234.05357,100,322.676355
248.269902,100,322.843627
198.207803,100,323.001525
272.884027,100,323.17471
302.332611,100,323.344133
258.351323,100,323.604331
221.551236,100,323.773609
210.836351,100,335.927687
268.135368,100,336.07794
257.628813,100,336.22584
239.001956,100,336.382131
224.185215,100,336.541953
237.23494,100,336.718299
275.130559,100,336.881803
268.057929,100,337.04215
253.23929,100,337.201279
270.297038,100,337.407098
211.747497,100,352.076523
309.66884,100,352.234796
264.421631,100,352.403556
273.586931,100,352.557945
213.61517,100,352.706002
229.556179,100,352.861032
329.869212,100,353.013281
179.97412,100,353.172343
294.854723,100,353.313835
246.506236,100,353.461549
292.314306,100,364.958655
280.934538,100,365.124973
251.142719,100,365.280981
173.684159,100,365.427461
275.027353,100,365.567765
234.276828,100,365.717555
195.157267,100,365.974453
292.168355,100,366.151377
283.794802,100,366.322647
183.683095,100,366.479149
252.107785,100,378.270487
356.986702,100,378.465553
274.695405,100,378.65178
330.541906,100,378.853538
282.29283,100,379.028453
335.883832,100,379.179796
208.570335,100,379.3485
276.177845,100,379.505231
226.219072,100,379.681539
219.175187,100,379.920322
279.890515,100,393.612059
248.278579,100,393.98989
221.723937,100,394.285681
275.481974,100,394.666898
239.054873,100,395.037797
310.288396,100,395.395273
256.01723,100,395.770369
250.06192,100,396.152516
293.240674,100,396.4469
214.871827,100,396.636171
214.179377,100,409.330084
263.838802,100,409.718697
301.91409,100,410.098245
320.664054,100,410.451786
283.66606,100,410.870998
312.822154,100,411.196422
283.252079,100,411.52292
293.56038,100,411.848206
236.440956,100,412.166728
264.279678,100,412.434266
298.551906,100,427.338428
335.687935,100,427.502879
258.200214,100,427.688951
222.821495,100,427.893736
249.389958,100,428.209765
299.083395,100,428.408168
279.873818,100,428.591505
205.439559,100,428.774315
201.584944,100,428.958527
349.280755,100,429.14555
310.689684,100,440.851405
