#{"t_start": 1784411697.663067, "env_id": "None"}
r,l,t
141.111347,100,1.509526
199.798504,100,1.649491
241.623249,100,1.837967
173.036339,100,2.056306
160.523753,100,2.318238
221.993884,100,2.484194
184.890496,100,2.658345
147.815619,100,2.823776
110.594383,100,2.990463
144.423309,100,3.144866
187.545599,100,14.739392
203.489456,100,14.91059
126.891413,100,15.066365
146.865789,100,15.234587
177.261862,100,15.394504
173.560194,100,15.541678
182.649583,100,15.701033
271.118109,100,15.848237
170.747359,100,16.009913
225.59192,100,16.162364
176.36201,100,28.200083
269.170195,100,28.37505
216.557604,100,28.613295
227.377339,100,28.801399
264.330435,100,28.972461
218.168685,100,29.145565
167.339584,100,29.303661
237.564926,100,29.453141
208.178663,100,29.609736
169.277641,100,29.786845
209.270483,100,41.130825
185.089956,100,41.299396
256.749145,100,41.451373
133.132854,100,41.615938
166.615946,100,41.787123
196.827984,100,41.95723
225.50121,100,42.107267
274.233584,100,42.261073
200.581685,100,42.412657
136.921344,100,42.654209
235.410379,100,53.869237
194.268705,100,54.238008
209.505804,100,54.609624
194.82419,100,54.793512
151.794208,100,54.957439
162.369036,100,55.110855
232.480384,100,55.251566
172.500184,100,55.401357
219.082477,100,55.555271
177.174708,100,55.735093
191.485667,100,67.646285
187.692283,100,67.893598
197.47546,100,68.134588
184.90431,100,68.361818
164.37187,100,68.678632
162.668163,100,68.898097
160.921003,100,69.100393
216.31381,100,69.310624
201.355045,100,69.5151
231.101328,100,69.732526
179.680077,100,83.282851
182.756639,100,83.480652
214.311723,100,83.691938
199.680637,100,83.919632
116.215013,100,84.11014
217.522632,100,84.306777
210.137432,100,84.548261
215.52921,100,84.82835
240.661566,100,85.061119
242.258539,100,85.261232
231.846285,100,98.092929
211.559383,100,98.413373
198.979633,100,98.735492
136.974676,100,98.991569
223.971182,100,99.297999
248.683292,100,99.605895
157.023612,100,99.916128
168.872589,100,100.21932
252.87009,100,100.526372
185.450016,100,100.817991
199.735636,100,111.990067
248.195571,100,112.158363
207.394511,100,112.326087
192.748204,100,112.506728
191.829625,100,112.779902
173.810592,100,112.929155
222.019996,100,113.099918
268.644228,100,113.263309
210.983197,100,113.421201
232.39734,100,113.569824
216.922498,100,125.991806
221.055755,100,126.308148
195.546806,100,126.63529
210.975359,100,126.912828
148.304706,100,127.183921
149.918513,100,127.486185
239.673218,100,127.792022
165.386419,100,127.989386
213.833069,100,128.164655
201.341298,100,128.331025
256.550842,100,142.351292
259.863182,100,142.518368
270.047131,100,142.670888
197.008115,100,142.918963
213.488072,100,143.07812
213.937737,100,143.256044
250.086002,100,143.435366
224.401656,100,143.595016
186.747246,100,143.750432
228.600181,100,143.911299
184.559796,100,157.165412
194.696745,100,157.359941
176.516355,100,157.500347
231.000493,100,157.643889
187.209508,100,157.805479
205.091806,100,157.960052
226.566422,100,158.122262
200.832772,100,158.284044
177.576588,100,158.435922
165.389823,100,158.591606
169.852177,100,171.765571
202.626447,100,171.985202
217.916595,100,172.207304
200.34378,100,172.40953
257.426893,100,172.610493
239.961211,100,172.846122
249.621523,100,173.083924
245.203502,100,173.307585
227.102391,100,173.491894
213.881899,100,173.679114
213.668072,100,189.245638
239.707594,100,189.426156
212.688829,100,189.592389
264.492824,100,189.792988
224.332767,100,189.970412
219.23266,100,190.175418
283.212613,100,190.363856
266.048312,100,190.549795
226.285202,100,190.723352
187.159932,100,191.033003
312.907009,100,206.88207
202.862606,100,207.048953
191.086239,100,207.390841
289.159807,100,207.743138
258.048202,100,208.128749
238.015791,100,208.518314
248.963695,100,208.904997
241.073308,100,209.305075
203.285174,100,209.649199
264.120234,100,209.954185
201.176656,100,223.922955
255.366663,100,224.285903
214.727024,100,224.647459
142.286022,100,225.022759
289.415725,100,225.369799
222.0041,100,225.692642
235.109749,100,225.884241
209.716094,100,226.041458
319.576979,100,226.191601
289.256389,100,226.343358
225.128976,100,237.788221
188.066146,100,237.951844
243.365379,100,238.110308
213.098051,100,238.264423
282.752425,100,238.431386
235.565914,100,238.596144
186.620455,100,238.760518
217.974705,100,238.933557
245.56341,100,239.093071
245.303602,100,239.367379
300.822863,100,252.229758
277.551907,100,252.391404
192.135886,100,252.553178
212.291881,100,252.707998
209.665121,100,252.881539
257.245188,100,253.047493
206.135833,100,253.280575
221.638363,100,253.471852
264.636054,100,253.649481
240.37238,100,253.816377
206.42233,100,265.09921
220.757444,100,265.36429
172.123433,100,265.540923
194.628451,100,265.716563
269.844686,100,265.863199
234.336128,100,266.003964
281.69798,100,266.149084
302.651131,100,266.29827
266.266546,100,266.442671
222.544383,100,266.586317
203.306745,100,279.806856
302.87189,100,279.985006
261.949285,100,280.15227
